Family,Binomial,Method,Injection,Dosage mg/kg,Tested on
Viperidae,Daboia russelii,LD50,SC,16.25,Rat
Viperidae,Crotalus willardi,LDLo,SC,16.5,Mouse
Viperidae,Bothrops itapetiningae,LD50,SC,17.19,Mouse
Viperidae,Gloydius blomhoffii,LD50,SC,18.29,Mouse
Viperidae,Bitis nasicornis,LDLo,IP,18.5,Mouse
Viperidae,Craspedocephalus malabaricus,LD50,SC,18.5,Mouse
Viperidae,Crotalus atrox,LD50,IM,19.04,Mouse
Viperidae,Agkistrodon bilineatus,LD50,SC,19.2,Mouse
Viperidae,Lachesis muta,LDLo,IP,20,Mouse
Viperidae,Crotalus ruber,LD50,IV,20,Cat
Viperidae,Protobothrops flavoviridis,LD50,unknown,21.7,Frog
Elapidae,Tropidechis carinatus,LDLo,IV,21.8,Mammal
Viperidae,Bothrops atrox,LD50,SC,22.14,Mouse
Elapidae,Naja atra,LDLo,unknown,22.5,Cat
Viperidae,Sistrurus miliarius,LD50,SC,24.25,Mouse
Elapidae,Emydocephalus annulatus,LD50,SC,25,Mouse
Viperidae,Bothrops alternatus,LDLo,SC,25,Mouse
Elapidae,Naja haje,LDLo,IP,25,Rat
Viperidae,Crotalus atrox,LDLo,unknown,25,Rat
Viperidae,Crotalus adamanteus,LDLo,IP,25,Rat
Viperidae,Crotalus adamanteus,LDLo,IM,25,Rat
Colubridae,Natrix tessellata,LD50,IV,25,Mouse
Colubridae,Hypsiglena jani,LD50,SC,26,Mouse
Viperidae,Crotalus adamanteus,LD50,IM,28,Mouse
Colubridae,Thamnophis sirtalis,LD50,IP,33,Mouse
Viperidae,Daboia siamensis,LD50,PA,34.8,Frog
Viperidae,Agkistrodon piscivorus,LD50,IP,40,Frog
Viperidae,Echis coloratus,LDLo,IV,50,Dog
Elapidae,Naja naja,LDLo,unknown,50,Cattle
Colubridae,Leptodeira annulata,LD50,SC,50,Mouse
Viperidae,Bothrops fonsecai,LD50,IP,56.8,Mouse
Viperidae,Crotalus horridus,LDLo,SC,60,Mammal
Viperidae,Bothrops itapetiningae,LD50,IP,74.4,Mouse
Elapidae,Naja naja,LDLo,unknown,100,Human
Viperidae,Crotalus atrox,LD50,IP,172,Rat
Viperidae,Crotalus adamanteus,LDLo,IP,190,Frog
Elapidae,Naja naja,LDLo,unknown,400,Guinea Pig
Elapidae,Naja naja,LDLo,unknown,500,Rabbit
Viperidae,Crotalus pyrrhus,LD,IN,500,Chicken
Viperidae,Crotalus pyrrhus,LD50,IN,500,Duck
Viperidae,Crotalus helleri,LD50,IV,1000,Cat
Viperidae,Crotalus pyrrhus,LD,IN,1000,Monkey
