Family,Binomial,Method,Injection,Dosage mg/kg,Tested on
Elapidae,Hydrophis melanocephalus,LD50,SC,0.111,Mouse
Elapidae,Micrurus alleni,LD50,IP,0.113,Mouse
Elapidae,Naja kaouthia,LD50,IV,0.115,Mouse
Elapidae,Naja christyi,LD50,IP,0.12,Mouse
Viperidae,Echis carinatus,LD50,IV,0.12,Mouse
Elapidae,Laticauda colubrina,LD50,IM,0.12,Mouse
Elapidae,Bungarus caeruleus,LDLo,IV,0.12,Dog
Elapidae,Hydrophis elegans,LD50,IV,0.12,Mouse
Elapidae,Hydrophis elegans,LD50,IM,0.12,Mouse
Elapidae,Naja haje,LD50,IP,0.12,Mouse
Elapidae,Naja naja,LDLo,unknown,0.12,Monkey
Colubridae,Rhabdophis subminiatus,LD50,IV,0.125,Mouse
Viperidae,Pseudocerastes fieldi,LD50,IV,0.125,Mouse
Elapidae,Microcephalophis gracilis,LDLo,IV,0.125,Mouse
Elapidae,Microcephalophis gracilis,LDLo,PA,0.125,Mouse
Elapidae,Tropidechis carinatus,LD50,IP,0.125,Mouse
Elapidae,Ophiophagus hannah,LD50,IV,0.125,Mouse
Elapidae,Micrurus mipartitus,LD50,IP,0.125,Mouse
Viperidae,Crotalus durissus,LDLo,IV,0.125,Rabbit
Viperidae,Crotalus adamanteus,LDLo,IV,0.125,Rabbit
Elapidae,Naja kaouthia,LD50,IC,0.126,Mouse
Elapidae,Microcephalophis gracilis,LD50,IV,0.13,Mouse
Elapidae,Acanthophis antarcticus,LDLo,SC,0.13,Guinea Pig
Elapidae,Naja naja,LD50,IV,0.13,Mouse
Viperidae,Crotalus durissus,LD50,unknown,0.13,Mouse
Viperidae,Crotalus horridus,LD50,IV,0.134,Pigeon
Viperidae,Echis ocellatus,LD50,IC,0.136,Mouse
Viperidae,Bothrops jararacussu,LD50,IV,0.14,Mouse
Elapidae,Walterinnesia aegyptia,LD50,IP,0.14,Mouse
Elapidae,Hydrophis major,LD50,IV,0.143,Mouse
Elapidae,Naja annulata,LD50,IP,0.143,Mouse
